개방서비스명,상세영업상태명,도로명전체주소,도로명우편번호,사업장명,좌표정보x,좌표정보y
국제물류주선업,운행,"경상남도 창원시 성산구 정동로 164, 창남상가 지하16호(남산동)",51536,주식회사 태송로지스,354134.1051,190726.5225
국제물류주선업,운행,경상남도 창원시 성산구 성주로97번길 35(남산동),51538,신흥글로벌 주식회사,354320.7872,189920.8102
국제물류주선업,운행,대구광역시 동구 안심로51길 7-2(서호동),41117,신성로지스 주식회사,354608.1648,264302.8813
국제물류주선업,운행,"경상남도 창원시 진해구 자은로40번길 18, 2층 (자은동)",51647,태산로지스틱 유한회사,355434.3993,184613.7947
국제물류주선업,운행,"대구광역시 동구 반야월로 311-11, 4층(신서동)",41074,(주)제이엔엘로지스,355510.4648,264978.2737
국제물류주선업,운행,경상남도 창원시 성산구 대암로77번길 43 (대방동),51461,아크로요트,355526.3297,192191.8239
국제물류주선업,운행,경상남도 창원시 진해구 진해대로1052번길 9 (풍호동),51654,주식회사 씨에이치로지스,355551.4798,183134.1151
국제물류주선업,운행,경상남도 창원시 성산구 대암로 145 (대방동),51469,주식회사 정호,355638.4817,191741.7625
국제물류주선업,운행,경상남도 창원시 성산구 삼정자로63번길 5(성주동),51473,사방물류 주식회사,355914.1301,190158.5022
국제물류주선업,운행,"경상북도 경산시 남매공원로1길 9, 임당타워 5층 506호 (계양동)",38615,(주)하나로직스,357316.7864,260686.3216
국제물류주선업,운행,"경상남도 거제시 마전9길 6, 거성해운주식회사(장승포동)",53323,거성해운앤엔지니어링 주식회사,357635.868,152851.4593
국제물류주선업,운행,경상남도 김해시 진례면 서부로 520,50873,제주대형물류 주식회사,359161.2346,196676.8499
국제물류주선업,운행,경상남도 창원시 진해구 웅천로 236 (성내동),51621,주식회사 대동,360041.4189,180923.6792
국제물류주선업,운행,"경상남도 창원시 진해구 신항10로 16, (주)디더블유국제물류센터 (남문동)",51619,(유)신진로지스,361235.5817,178165.1358
국제물류주선업,운행,경상남도 김해시 진례면 고모로526번길 31-50,50875,크로바물류(주),361841.9467,198161.8325
국제물류주선업,운행,"경상남도 창원시 진해구 신항8로 104, 비아이디씨(남문동)",51619,(주)비티에프로지스틱스,362035.5041,178162.0707
국제물류주선업,운행,"경상남도 창원시 진해구 두동남로 37, 2층(두동)",51599,보성신항물류 주식회사,363806.5551,181599.083
국제물류주선업,운행,경상남도 김해시 장유로 99-39(부곡동),50971,주식회사 로얄로지스틱스,363916.6367,191877.1133
국제물류주선업,운행,경상북도 경산시 진량읍 공단로 393,38488,주식회사 청우국제운송,364176.9934,264454.777
국제물류주선업,운행,경상남도 김해시 삼문로 45 (삼문동),51000,주식회사 무승해운항공,364353.0036,189744.9597
국제물류주선업,운행,"경상남도 김해시 월산로 82-58, 대동아파트상가 2층 203호(부곡동)",50981,아라로지스 주식회사,364501.4504,190932.0647
국제물류주선업,운행,"강원특별자치도 강릉시 솔올로5번길 47, 706호 (교동)",25515,주식회사 트라이허브코리아,365295.4472,475160.8893
국제물류주선업,운행,부산광역시 강서구 과학산단로 502 (지사동),46742,(주)이엔케이,365359.2219,184943.7065
국제물류주선업,운행,"경상남도 창원시 진해구 용재로59번길 15, 대명 1층(용원동)",51604,주식회사 대청글로벌,365516.8969,179612.6486
국제물류주선업,운행,"경상남도 창원시 진해구 신항4로 15-29, 씨제이대한통운 2층 204호 (용원동)",51611,(주)지케이에스티,365557.9998,177676.8809
국제물류주선업,운행,"경상남도 창원시 진해구 용원북로12번길 22, 101호(용원동)",51603,디디케이종합물류 주식회사,365688.2817,179749.7273
국제물류주선업,운행,경상남도 창원시 진해구 신항2로 114 (용원동),51611,(주)신항특수로직스,365796.9331,178333.1479
국제물류주선업,운행,"경상남도 창원시 진해구 신항2로 106, 427호(용원동)",51611,디엘로직스 주식회사,365863.8688,178350.675
국제물류주선업,운행,"경상남도 창원시 진해구 신항2로 106, 다인로얄팰리스부산신항1차 11층 1104호(용원동)",51611,(주)다보물류,365863.8688,178350.675
국제물류주선업,운행,"경상남도 창원시 진해구 용원동로 238-5, 203호 (용원동)",51610,주식회사 나우물류,365867.8071,178734.1616
국제물류주선업,운행,"경상남도 창원시 진해구 용재로 106, 202호(용원동)",51604,주식회사 장원로지스틱스,365979.4148,179401.8157
국제물류주선업,운행,"부산광역시 강서구 신항로 96-47, 씨스테인웨그디스트리파크부산(주) (성북동)",46767,씨스테인웨그디스트리파크부산(주),366505.2237,177690.5478
국제물류주선업,운행,"부산광역시 강서구 신항로 96-13, (주)C&S국제물류센터 (성북동)",46767,(주)씨앤에스국제물류센터,366505.2237,177690.5478
국제물류주선업,운행,"부산광역시 강서구 신항로 96-72, BIDC(주) (성북동)",46767,비아이디씨(주),366505.2237,177690.5478
국제물류주선업,운행,"부산광역시 강서구 신항로 96-13, (주)C&S국제물류센터(성북동)",46767,(주)씨앤에스국제물류센터,366505.2237,177690.5478
